job id,company id,Job Salary,Job Experience,Key Skills,Role Category,Functional Area,Industry,Job Title
10001,10001, Not Disclosed by Recruiter ,2 - 5 yrs, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
10002,10015,"2,00,000 - 4,00,000 PA.",0 - 5 yrs, Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer
10003,10018, Not Disclosed by Recruiter ,2 - 5 yrs, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
10004,10009,"7,00,000 - 17,00,000 PA.",5 - 7 yrs, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
10005,10037, Not Disclosed by Recruiter ,9 - 14 yrs, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
10006,10029, Not Disclosed by Recruiter ,2 - 7 yrs, Bde,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
10007,10033, Not Disclosed by Recruiter ,1 - 5 yrs, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical)
10008,10036, Not Disclosed by Recruiter ,1 - 6 yrs, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster
10009,10002, Not Disclosed by Recruiter ,3 - 7 yrs, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager
10010,10046, Not Disclosed by Recruiter ,0 - 3 yrs, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10011,10017,"2,50,000 - 4,50,000 PA.",0 - 4 yrs, lead generation| business development| corporate sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10012,10005, Not Disclosed by Recruiter ,2 - 5 yrs, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10013,10014, Not Disclosed by Recruiter ,6 - 8 yrs, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
10014,10035, Not Disclosed by Recruiter ,4 - 9 yrs, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10015,10035, Not Disclosed by Recruiter ,4 - 9 yrs, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10016,10025, Not Disclosed by Recruiter ,5 - 10 yrs, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator
10017,10048, Not Disclosed by Recruiter ,8 - 10 yrs, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
10018,10002, Not Disclosed by Recruiter ,6 - 8 yrs,Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10019,10048, Not Disclosed by Recruiter ,2 - 7 yrs,GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
10020,10022, Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
10021,10032, Not Disclosed by Recruiter ,15 - 20 yrs, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager
10022,10020, Not Disclosed by Recruiter ,10 - 16 yrs,4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
10023,10050, Not Disclosed by Recruiter ,0 - 3 yrs, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
10024,10028, Not Disclosed by Recruiter ,5 - 10 yrs, ODI| Matrix,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
10025,10039, Not Disclosed by Recruiter ,2 - 4 yrs, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10026,10035, Not Disclosed by Recruiter ,2 - 5 yrs, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10027,10033, Not Disclosed by Recruiter ,2 - 5 yrs, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,IT Software - Mobile,"IT-Software, Software Services",Software Developer
10028,10001, Not Disclosed by Recruiter ,2 - 5 yrs, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
10029,10022, Not Disclosed by Recruiter ,0 - 2 yrs, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive
10030,10030, Not Disclosed by Recruiter ,6 - 11 yrs, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
10031,10044, Not Disclosed by Recruiter ,1 - 5 yrs, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
10032,10022, Not Disclosed by Recruiter ,3 - 8 yrs, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
10033,10029, Not Disclosed by Recruiter ,1 - 3 yrs, design| android| erp| software| mvc| quality,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10034,10028, Not Disclosed by Recruiter ,4 - 7 yrs, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer
10035,10036, Not Disclosed by Recruiter ,1 - 5 yrs, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10036,10020, Not Disclosed by Recruiter ,0 - 3 yrs, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
10037,10007, Not Disclosed by Recruiter ,0 - 1 yrs, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10038,10025, Not Disclosed by Recruiter ,2 - 5 yrs, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10039,10028, Not Disclosed by Recruiter ,1 - 2 yrs, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10040,10019, Not Disclosed by Recruiter ,8 - 10 yrs, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
10041,10030, Not Disclosed by Recruiter ,2 - 5 yrs, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10042,10045, Not Disclosed by Recruiter ,5 - 10 yrs, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect
10043,10037, Not Disclosed by Recruiter ,3 - 5 yrs, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10044,10047, Not Disclosed by Recruiter ,4 - 9 yrs, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager
10045,10044, Salary based on % ,1 - 6 yrs, Informatica Power Center| Informatica,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
10046,10028, Not Disclosed by Recruiter ,3 - 7 yrs, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist
10047,10035, Not Disclosed by Recruiter ,2 - 7 yrs, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
10048,10029, Not Disclosed by Recruiter ,0 - 3 yrs, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
